年份,季节,profit,方案
2024,1,1107.3959514500002,Q1
2024,2,803.2934000000001,Q1
2025,1,820.84665145,Q1
2025,2,516.35515275,Q1
2026,1,1109.24679595,Q1
2026,2,803.2786,Q1
2027,1,821.600579,Q1
2027,2,515.99395275,Q1
2028,1,1108.2960561000004,Q1
2028,2,803.2786,Q1
2029,1,821.19148975,Q1
2029,2,516.27595275,Q1
2030,1,1109.1053804500002,Q1
2030,2,803.3181999999999,Q1
2024,1,517.1959000000002,Q3
2024,2,328.508,Q3
2025,1,596.82945,Q3
2025,2,293.28659999999996,Q3
2026,1,422.1507,Q3
2026,2,168.5146,Q3
2027,1,636.2191000000001,Q3
2027,2,189.1092,Q3
2028,1,598.3085000000001,Q3
2028,2,265.18199999999996,Q3
2029,1,465.0459000000001,Q3
2029,2,354.53580000000005,Q3
2030,1,504.49455,Q3
2030,2,200.62,Q3
